Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Probability,Actual_Attrition
32,Travel_Rarely,374,Research & Development,25,4,Life Sciences,911,1,Male,87,3,1,Laboratory Technician,4,Single,2795,18016,1,Yes,24,4,3,0,1,2,1,1,0,0,1,0.9252898308560773,1
26,Travel_Rarely,471,Research & Development,24,3,Technical Degree,622,3,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Yes,18,3,2,0,1,3,1,1,0,0,0,0.9149552944477666,1
32,Travel_Rarely,414,Sales,2,4,Marketing,1862,3,Male,82,2,2,Sales Executive,2,Single,9907,26186,7,Yes,12,3,3,0,7,3,2,2,2,2,2,0.9081184824296037,1
25,Travel_Frequently,599,Sales,24,1,Life Sciences,1273,3,Male,73,1,1,Sales Representative,4,Single,1118,8040,1,Yes,14,3,4,0,1,4,3,1,0,1,0,0.9059301626631838,1
24,Travel_Frequently,381,Research & Development,9,3,Medical,1494,2,Male,89,3,1,Laboratory Technician,1,Single,3172,16998,2,Yes,11,3,3,0,4,2,2,0,0,0,0,0.8994089085561077,1
18,Travel_Frequently,1306,Sales,5,3,Marketing,614,2,Male,69,3,1,Sales Representative,2,Single,1878,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0,0.8919587805172993,1
33,Travel_Rarely,1017,Research & Development,25,3,Medical,1108,1,Male,55,2,1,Research Scientist,2,Single,2313,2993,4,Yes,20,4,2,0,5,0,3,2,2,2,2,0.8837976597415822,1
53,Travel_Rarely,1168,Sales,24,4,Life Sciences,1968,1,Male,66,3,3,Sales Executive,1,Single,10448,5843,6,Yes,13,3,2,0,15,2,2,2,2,2,2,0.8797516659220386,1
33,Travel_Rarely,211,Sales,16,3,Life Sciences,1758,1,Female,74,3,3,Sales Executive,1,Single,8564,10092,2,Yes,20,4,3,0,11,2,2,0,0,0,0,0.8755475917433394,1
19,Travel_Rarely,419,Sales,21,3,Other,959,4,Male,37,2,1,Sales Representative,2,Single,2121,9947,1,Yes,13,3,2,0,1,3,4,1,0,0,0,0.8658495822871947,1
21,Travel_Frequently,756,Sales,1,1,Technical Degree,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2,0.8649532808968954,1
29,Travel_Frequently,459,Research & Development,24,2,Life Sciences,1868,4,Male,73,2,1,Research Scientist,4,Single,2439,14753,1,Yes,24,4,2,0,1,3,2,1,0,1,0,0.8487688475498548,1
33,Travel_Rarely,603,Sales,9,4,Marketing,1157,1,Female,77,3,2,Sales Executive,1,Single,8224,18385,0,Yes,17,3,1,0,6,3,3,5,2,0,3,0.8422137638272004,1
52,Travel_Rarely,1030,Sales,5,3,Life Sciences,1319,2,Male,64,3,3,Sales Executive,2,Single,8446,21534,9,Yes,19,3,3,0,10,2,2,8,7,7,7,0.8368212236107614,1
29,Travel_Frequently,115,Sales,13,3,Technical Degree,1487,1,Female,51,3,2,Sales Executive,2,Single,5765,17485,5,No,11,3,1,0,7,4,1,5,3,0,0,0.8285458385677825,1
28,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0.8263812391060006,1
19,Travel_Rarely,528,Sales,22,1,Marketing,167,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0,0.8256160175659489,1
30,Travel_Frequently,464,Research & Development,4,3,Technical Degree,514,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0,0.824187376050868,1
26,Non-Travel,265,Sales,29,2,Medical,1037,2,Male,79,1,2,Sales Executive,1,Single,4969,21813,8,No,18,3,4,0,7,6,3,2,2,2,2,0.8240597828204291,1
18,Travel_Frequently,544,Sales,3,2,Medical,1624,2,Female,70,3,1,Sales Representative,4,Single,1569,18420,1,Yes,12,3,3,0,0,2,4,0,0,0,0,0.8146152851593568,1
40,Travel_Rarely,299,Sales,25,4,Marketing,1318,4,Male,57,2,3,Sales Executive,2,Single,9094,17235,2,Yes,12,3,3,0,9,2,3,5,4,1,0,0.8068770593241806,1
41,Travel_Rarely,1356,Sales,20,2,Marketing,248,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Yes,22,4,4,0,4,5,2,4,3,0,2,0.8040002978991,1
34,Non-Travel,1362,Sales,19,3,Marketing,502,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4,0.7998935228476891,1
39,Non-Travel,592,Research & Development,2,3,Life Sciences,1458,1,Female,54,2,1,Laboratory Technician,1,Single,3646,17181,2,Yes,23,4,2,0,11,2,4,1,0,0,0,0.7831650908264919,1
19,Non-Travel,504,Research & Development,10,3,Medical,1248,1,Female,96,2,1,Research Scientist,2,Single,1859,6148,1,Yes,25,4,2,0,1,2,4,1,1,0,0,0.7772621178942646,1
